Name;Projectedarea;Feretdimater;MajorAxisLenght;MinorAxislenght;Perimeter;Shapefactor;Compactness;Elongation;Roundness;Shapeindex;Geo.meandia.;Kuresellik;Surfacearea;Volume;Projectedarea2;Feretdimater3;MajorAxisLenght4;MinorAxislenght5;Perimeter6;Shapefactor7;Compactness8;Elongation9;Roundness10;L;a;b
Cakildak;272.0509755;18.61144971;20.36165168;18.63023575;62.50515061;0.875041276;14.36088897;1.05288617;0.835477513;1.101312756;19.07945604;93.70288984;1143.619319;3636.605756;250.0608086;17.84341083;19.33889176;17.63816414;60.1522932;0.868462595;14.46967398;1.096423166;0.851320225;41.3;17.55;24.32
Cakildak;305.6360295;19.72683145;21.04388795;20.01231474;66.00768914;0.881506168;14.25556742;1.039199925;0.878745417;1.138189086;19.24554336;91.45431397;1163.61647;3732.405205;253.4347072;17.96338195;20.2500861;16.72775566;60.7945602;0.86168099;14.58355326;1.210568023;0.786905947;42.65;13.53;18.85
Cakildak;263.7249316;18.32443756;20.63958586;16.73187681;62.00975759;0.861868454;14.58038121;1.044496985;0.788242262;1.225954221;17.83535261;86.41332599;999.3391596;2970.594382;208.9659393;16.31145908;19.76031157;13.91074319;55.95885825;0.838586135;14.98518767;1.420507251;0.681394169;41.82;16.78;22.29
Cakildak;209.8564309;16.34617712;18.56118669;14.96061861;55.46814765;0.857126299;14.66104894;1.041197315;0.775570515;1.19754456;16.33464555;88.00431687;838.2410708;2282.061796;175.0307966;14.92836668;17.82677156;13.17196921;51.62124442;0.825405567;15.22448007;1.353386975;0.701260789;44.23;17.86;28.72
Cakildak;238.827051;17.43800578;19.73113747;16.69045749;58.89950696;0.865107469;14.52579139;1.048604533;0.781069639;1.169704144;17.69393252;89.67517736;983.5540685;2900.489886;196.0588157;15.79967839;18.81656701;14.92040412;54.36605951;0.833567026;15.07541712;1.26112985;0.705043767;40.86;16.06;21.8
Cakildak;198.4005971;15.89375619;17.28393593;15.15646923;53.47090897;0.87200245;14.41093499;1.025797363;0.845606212;1.15308002;15.63712267;90.47200091;768.1803473;2002.021721;159.8874844;14.2679735;16.84926921;13.12945843;48.93615018;0.839005356;14.97770012;1.283317914;0.717072086;42.86;18.02;28.16
Cakildak;211.6018907;16.4140152;19.25564331;14.72338554;55.45980849;0.864515286;14.53574137;1.042033798;0.726631071;1.203343829;16.8831504;87.67897353;895.4812246;2519.757366;179.6012523;15.12201761;18.47890476;13.5246554;52.29749472;0.825196648;15.22833454;1.366312428;0.669680097;44.88;15.74;24.45
Cakildak;234.3129308;17.27241991;18.83373387;16.70787812;58.11248867;0.871900991;14.41261191;1.032575264;0.841073371;1.20267891;16.50138221;87.61609527;855.4411807;2352.660313;172.0492118;14.80067094;18.2395749;13.08006281;51.17704654;0.825490565;15.22291247;1.394456217;0.658466596;41.13;17.59;22.68
Cakildak;225.6859456;16.9514681;18.86991783;16.23652111;57.22826194;0.865950896;14.5116434;1.047992245;0.807002689;1.190055118;16.69963778;88.49873078;876.1200279;2438.481186;177.4827578;15.03256684;18.00578003;13.70689874;51.51104882;0.84055328;14.95011788;1.313629025;0.697016042;42.58;15.09;19.96
Cakildak;225.3649415;16.93940836;19.39734342;15.94727246;57.11092099;0.868276193;14.47278034;1.074524777;0.762627273;1.218253267;16.90325401;87.14210831;897.6150829;2528.769292;188.2910027;15.48352513;18.05202061;13.79249636;52.37953764;0.862414622;14.57114745;1.308829101;0.73567909;43.72;14.21;19.84
Cakildak;266.9349726;18.43562212;20.83645954;17.09192191;62.26457202;0.8652335;14.52367553;1.029325943;0.782831167;1.230245532;17.91454804;85.97692908;1008.233719;3010.341901;200.5704242;15.98043165;20.24281976;13.6308404;55.15250541;0.82860255;15.16573973;1.48507496;0.623211361;40.75;14.04;18.05
Cakildak;211.1203846;16.39532928;19.27647036;14.64482383;55.49417686;0.86148001;14.58695555;1.049144459;0.723411859;1.198402538;16.96936691;88.03150471;904.6504136;2558.557466;192.0375994;15.63681123;18.37351395;13.7967623;53.08977122;0.856198425;14.67693732;1.331726499;0.724289696;45.12;14.16;20.51
Cakildak;211.8627065;16.42412786;18.51248236;15.06618813;55.22512658;0.872953157;14.39524046;1.003750559;0.787110464;1.171662068;16.50013713;89.12979256;855.3120937;2352.127805;175.1484908;14.9333849;18.44330963;13.15706879;51.0129607;0.845775701;14.85780522;1.401779524;0.65560034;42.06;20.34;27.11
Cakildak;234.2326798;17.26946179;19.6776827;15.40787446;58.45861484;0.861311627;14.58980725;1.01369775;0.770211619;1.145500145;17.87210061;90.82421382;1003.461483;2988.994097;212.5359948;16.45020466;19.41178492;14.94470607;55.4525244;0.868559776;14.468055;1.298907107;0.718144826;40.47;18.66;24.27
Cakildak;235.6370728;17.32115583;19.7895175;15.60389728;58.87347776;0.854307267;14.70942727;1.023516282;0.76609688;1.179205993;17.59218528;88.89648409;972.274927;2850.740109;204.7093347;16.14447336;19.33483408;14.22930589;55.11852212;0.846744496;14.84080579;1.358803741;0.697215821;41.15;8.41;12.96
Cakildak;227.1705896;17.00713315;18.09763787;17.12944281;57.16542188;0.873564835;14.38516079;1.030051961;0.883118135;1.08382178;17.1364804;94.68904466;922.5560542;2634.893958;200.8450439;15.99136805;17.56963586;15.82633053;53.9839976;0.866045881;14.51005183;1.110152213;0.828411432;43.34;17.18;25.13
Cakildak;273.0340505;18.64504626;19.75400238;19.02504104;63.88965532;0.840553935;14.95010622;1.115535535;0.890875661;1.202951209;17.42868982;88.22865103;954.2869562;2771.995227;193.0772309;15.67908051;17.70808886;15.13447737;54.12817649;0.828121638;15.17454687;1.170049578;0.783967685;40.84;14.61;17.08
Cakildak;240.0508791;17.48262772;20.05637714;16.97177045;59.11995302;0.86306798;14.56011683;1.023266865;0.759816659;1.138710459;18.31425319;91.31386523;1053.726577;3216.369219;210.8098141;16.3832656;19.6003387;15.62613522;56.21081762;0.838418562;14.98818274;1.254330545;0.698673319;40.62;15.85;19.86
Cakildak;256.9637827;18.08801951;20.46729957;17.53458697;60.68809294;0.876748032;14.33293278;1.040387715;0.78101848;1.166822712;18.37539516;89.77928476;1060.774035;3248.690345;211.7317515;16.4190511;19.67276168;15.40934523;56.23072457;0.8414891;14.93349185;1.276677327;0.69657168;41.21;15.58;19.5
Cakildak;271.5494065;18.59428522;20.58702812;17.86724876;63.08595869;0.857419404;14.65603713;1.012002343;0.815778073;1.171565543;18.3698204;89.23007388;1060.130493;3245.73446;219.6172587;16.72200282;20.34286606;14.8016092;57.65943747;0.830109775;15.13820339;1.374368542;0.675698061;43.04;16.24;23.44
Cakildak;239.8301888;17.47458956;20.09984387;16.36329874;58.85090275;0.87017671;14.44117094;1.032039565;0.755838425;1.18425725;17.82562179;88.68537442;998.2489948;2965.73484;203.5912404;16.10032355;19.47584622;14.46921743;54.89230031;0.849075073;14.80007012;1.346019321;0.683403031;41.7;13.47;16.24
Cakildak;234.4533701;17.27759538;18.44625563;16.56194446;57.89204261;0.879080401;14.29490476;1.028171064;0.877304828;1.147827265;16.75006402;90.8046834;881.4190824;2460.637677;185.8782729;15.38400363;17.940843;14.20032701;52.41352093;0.850260146;14.77944212;1.263410553;0.735281133;43.53;17.63;27.07
Cakildak;242.2778451;17.56353419;18.19713694;17.47957996;58.72766512;0.882750754;14.23546857;0.949591358;0.931575506;1.070446599;17.29533509;95.04426522;939.7394689;2708.851503;202.355452;16.0513851;19.163124;14.83602544;54.61218827;0.852600566;14.73887201;1.291661576;0.701605162;40;17.22;19.53
Cakildak;248.7581154;17.79687247;20.29256201;16.02508286;59.90941381;0.870957537;14.42822421;1.021840366;0.769155199;1.167708327;18.1746837;89.56327786;1037.727268;3143.394143;221.1276668;16.77940672;19.85883772;14.8973793;57.06523009;0.853315829;14.72651764;1.333042364;0.713914027;39.33;15.71;19.36
Cakildak;277.5281079;18.79786588;20.93492086;17.08252881;63.01132527;0.878374281;14.30639636;1.018442712;0.806259441;1.17841374;18.60899758;88.8897441;1087.916252;3374.171818;229.9154956;17.10957337;20.55581586;14.97486432;57.80944697;0.864530814;14.53548031;1.372687954;0.692802252;40.8;18.82;25.02
Cakildak;291.4717236;19.26430182;20.09984387;19.45878721;64.9943281;0.867072428;14.49287305;1.028640671;0.918589648;1.161012049;18.09467636;90.02396474;1028.610955;3102.063721;211.1432808;16.39621831;19.54019945;15.08449526;56.18508006;0.840514329;14.95081069;1.295383048;0.704092578;43.34;11.6;15.97
Cakildak;228.4345433;17.05438049;18.58764983;16.77917338;57.60285981;0.86513434;14.52534022;1.038714272;0.841827868;1.114851243;17.25705358;92.84150359;935.5840323;2690.903963;209.55441;16.33441035;17.89486322;15.45066148;54.83841007;0.875662919;14.35069402;1.158193987;0.833202422;42.92;18.14;26.81
Cakildak;198.982417;15.91704376;18.59897965;14.25607665;54.38950407;0.845267884;14.86673143;1.015818925;0.732397661;1.157314888;16.76299829;90.12859097;882.7808581;2466.342336;185.3486493;15.36207114;18.30934548;13.83226064;52.3654613;0.849394456;14.7945051;1.323669786;0.703970195;43.17;17.91;27.21
Cakildak;198.8219149;15.91062301;17.69177948;14.81304714;53.1247828;0.885278224;14.1948263;1.018902893;0.80878242;1.159332644;15.92904705;90.03643226;797.1298929;2116.253261;165.6348814;14.52215139;17.363558;13.15706879;49.77648632;0.840065581;14.95879714;1.319713249;0.699495367;43.05;17.56;26.97
Cakildak;253.9343065;17.98107897;19.77430455;17.09661652;60.48188273;0.872329659;14.40552948;1.011980691;0.826855132;1.139476806;18.02940215;91.17591016;1021.203178;3068.613796;215.3606541;16.55915762;19.54019945;15.16749173;56.53898929;0.846603665;14.84327452;1.288294716;0.718156114;42.11;16.12;22.11
Cakildak;199.5642369;15.94029731;18.04434737;14.70497832;53.52540987;0.875331539;14.35612686;1.012924266;0.780388468;1.136644102;16.48474501;91.35683698;853.7170863;2345.551413;183.406696;15.28138273;17.81411304;13.93610207;52.41352093;0.83895445;14.97860894;1.27827085;0.735863506;42.84;17.14;24.88
Cakildak;205.0012439;16.15598002;17.74556347;15.91515939;54.52697755;0.866450008;14.5032841;1.030789878;0.828871856;1.145763585;16.13915508;90.94754925;818.2972565;2201.104387;167.8906857;14.62070656;17.21550032;13.76045965;50.04252202;0.842477069;14.91597941;1.251084685;0.72126987;43.77;13.13;17.67
Cakildak;197.5178358;15.85835803;16.8311057;15.20932543;53.25635959;0.875131325;14.35941127;0.956993047;0.887751693;1.101352885;15.66136039;93.05009823;770.5635692;2011.345626;168.0279955;14.62668413;17.58749005;12.97692928;50.08475104;0.841744858;14.92895442;1.355289042;0.691646849;37.89;17.04;18.67
Cakildak;242.2577823;17.56280697;18.23293372;17.97304758;59.11405634;0.871176354;14.42460021;1.043638204;0.927844326;1.067772848;17.44991029;95.70544468;956.6121735;2782.132769;220.0880352;16.73991606;17.47055029;16.68078398;55.46660074;0.898965853;13.97869627;1.047345875;0.918107953;41.3;17.11;21.84
Cakildak;203.9379178;16.11402562;18.25657609;14.64687861;54.10621795;0.875414004;14.35477449;1.020463291;0.779058021;1.15749257;16.46037437;90.16134399;851.1947234;2335.163968;178.2870011;15.06658754;17.89047803;13.65456436;51.49114187;0.845015155;14.87117779;1.310219613;0.709228657;43.85;15.03;23.35
Cakildak;215.5743165;16.56736987;19.32013408;14.69405946;56.25516595;0.856016353;14.68005905;1.055855067;0.735338375;1.252199187;16.43614367;85.07261699;848.690544;2324.866618;175.3446477;14.94174486;18.29809287;12.55983178;51.22510617;0.83972415;14.96487938;1.45687404;0.66679348;44.23;16.69;26.6
Cakildak;156.5296247;14.11735485;14.76420832;14.04053572;47.50176795;0.871739772;14.41527738;0.994981948;0.914295749;1.066381697;14.12063803;95.64101051;626.4092277;1474.216327;139.1929321;13.31262354;14.83866954;12.85161876;45.41896554;0.847915492;14.8203102;1.154614825;0.804892244;42.99;14.3;19.05
Cakildak;207.5492139;16.25607169;18.5054367;14.88330919;54.57558176;0.875657374;14.3507849;1.023731629;0.771672284;1.180624258;16.4355473;88.81469574;848.6289576;2324.613562;178.4635423;15.07404522;18.07645303;13.27210951;51.45715858;0.846969498;14.83686324;1.361987935;0.695398197;41.85;18.06;26.58
Cakildak;211.822581;16.42257247;19.00341057;14.64687861;55.66012202;0.859199096;14.62567951;1.010770061;0.74682636;1.181078591;16.84520573;88.64306576;891.4605818;2502.80615;181.9355193;15.21997036;18.80092347;13.37883276;52.15331583;0.840549914;14.95017775;1.405273824;0.655344437;41.3;18.24;27.04
Cakildak;218.3429768;16.67341934;18.78733807;15.30400657;55.99201236;0.875179101;14.35862739;1.014711177;0.787624491;1.17475496;16.73350446;89.06799035;879.6771547;2453.346932;186.6236691;15.4148187;18.5149612;13.47015691;52.28341838;0.857923646;14.64742308;1.374517114;0.693156973;38.82;18.12;23.27
Cakildak;216.8783956;16.61740502;19.17420166;15.19810887;56.7932665;0.84495282;14.8722749;1.032156498;0.751090374;1.157965477;17.30161469;90.23382042;940.4219948;2711.803167;200.8646596;15.99214894;18.57683568;14.54021666;54.49033145;0.850108773;14.7820738;1.277617529;0.741089294;44.89;15.94;22.83
Cakildak;206.9272685;16.2316968;19.6776827;14.30244256;55.32823169;0.849442544;14.79366757;1.011331444;0.680425065;1.192326055;17.31136724;87.97462336;941.482485;2716.391508;186.309818;15.40185144;19.45720447;13.55001302;53.09560184;0.830478723;15.13147811;1.43595467;0.626592715;48.34;11.14;19.2
Cakildak;184.6174835;15.33174095;18.41196332;13.8092903;52.10897927;0.854392758;14.70795544;1.018499486;0.693398839;1.17667689;16.38554309;88.99400247;843.4730031;2303.46054;169.4991722;14.69057687;18.07753815;13.21731175;50.50079624;0.835181747;15.04627066;1.367716711;0.660388487;39.51;16.74;20.43
Cakildak;213.307225;16.48002409;18.00817572;15.43974321;55.03904889;0.884858015;14.20156726;1.002409982;0.83748418;1.148138389;16.30726745;90.55479967;835.4335147;2270.606293;174.4815573;14.90492598;17.96488068;13.40446623;50.73284866;0.851884851;14.75125493;1.340216042;0.688353207;43.54;18.38;27.56
Cakildak;243.5618615;17.61001402;18.09763787;17.74782448;58.87937444;0.882861898;14.23367646;0.959192381;0.946838661;1.020992662;17.82397731;98.48786588;998.064819;2964.914115;224.6781065;16.91357591;18.86757884;16.58348472;57.37932543;0.857550576;14.65379532;1.137733061;0.803598086;40.96;17.8;24.45
Cakildak;253.8339927;17.97752701;18.90391005;17.96411521;60.37877762;0.874965668;14.36212994;1.020656914;0.904392563;1.089085186;17.83165217;94.32785136;998.9245212;2968.745768;217.4987642;16.64115463;18.52131681;16.19389242;56.40888674;0.85895735;14.62979578;1.143722357;0.80727882;41.89;19.42;28.1
Cakildak;264.7080066;18.35855936;18.90284872;18.23843468;61.14566339;0.889704156;14.12421256;1.007520147;0.943241816;1.081758206;17.90546799;94.72364855;1007.211924;3005.766812;226.2473617;16.97253923;18.76175755;16.18662298;57.09921338;0.872033436;14.41042293;1.159090292;0.818364855;43.66;17.92;25.802
Cakildak;228.7956729;17.0678557;18.95478409;15.98747995;57.47717969;0.870295566;14.43919871;1.006258992;0.810812823;1.12449518;17.44755191;92.04827564;956.3536152;2781.004891;206.8670605;16.22933523;18.83688418;14.87563754;54.82433373;0.864877268;14.52965765;1.266290882;0.742307236;41.04;15.65;21.37
Cakildak;195.9930663;15.79702891;19.15535826;13.95309955;53.99477368;0.844786804;14.87519757;1.009126785;0.680096649;1.174682689;17.05009463;89.00953142;913.2782045;2595.246635;187.388681;15.44638077;18.9821126;13.63155992;53.1577378;0.833336179;15.07959325;1.392512134;0.662162755;46.82;11.63;18.53
Cakildak;209.0739834;16.31567539;17.77380547;15.39158947;54.49260918;0.884778686;14.20284058;0.96696694;0.842654674;1.101693868;16.55395963;93.13683363;860.9011528;2375.220488;184.0343981;15.30751035;18.38098568;13.885338;52.07127291;0.852928213;14.73321016;1.323769409;0.693540612;39.98;18.78;24.33
Cakildak;232.3869062;17.2012848;18.6221573;16.97649829;57.87780676;0.871760902;14.41492797;1.01521531;0.853222222;1.114830921;17.26460965;92.71004092;936.4035101;2694.44018;202.7477658;16.06693726;18.34306192;15.06497682;54.45634816;0.859149838;14.62651805;1.217596425;0.76722527;39.97;16.49;20.08
Cakildak;217.4000273;16.63737695;18.47939866;15.40787446;55.45980849;0.888204005;14.14806795;1.006464921;0.81057725;1.115888759;17.10878688;92.58302825;919.576658;2622.140177;200.0015693;15.95775382;18.3606982;14.7598051;53.86797139;0.866127894;14.50867787;1.243966169;0.75538004;43.75;13.47;18.61
Cakildak;200.0858686;15.96111651;16.43669907;15.9780654;53.95450863;0.863715667;14.54919841;0.963473485;0.942969605;1.042571065;15.95016465;97.03995054;799.2448506;2124.68116;172.8338394;14.83438165;17.0598354;14.47125082;50.62265306;0.847517818;14.82726422;1.178877736;0.756118023;42.24;19.26;26.64
Cakildak;244.8458779;17.65637149;19.38026988;16.37739262;59.22550062;0.877172848;14.32599133;0.988141719;0.830010605;1.155536937;17.42965267;89.93503588;954.392398;2772.454668;200.7077341;15.98590079;19.6128445;13.93047075;54.6602479;0.844171679;14.88603672;1.407909672;0.664344622;41.01;17.41;22.97
Cakildak;216.3968895;16.59894807;19.38026988;15.04420001;55.56291359;0.880827481;14.2665515;1.004037227;0.7335705;1.17599513;17.22316699;88.86959316;931.913345;2675.083194;188.4479282;15.48997593;19.30234195;13.65743719;52.73344687;0.851586783;14.7564181;1.413320939;0.643994032;41.72;14.83;19.36
Cakildak;208.0307201;16.27491749;18.27634618;15.11869646;54.74152693;0.872375624;14.40477045;1.01425984;0.792974472;1.129089602;16.78299848;91.82906866;884.8886333;2475.180765;187.7417634;15.46092615;18.01939252;14.35420501;52.38536825;0.859707577;14.61702904;1.255338941;0.736191988;42.99;16.74;23.75
Cakildak;210.6790039;16.3781818;17.5688789;15.95481908;55.09354978;0.872227166;14.40722223;0.986966068;0.869047757;1.083790882;16.59766699;94.47197563;865.453223;2394.084066;189.2914028;15.52460304;17.80089455;14.62026565;52.22128241;0.87225946;14.40668882;1.217549323;0.76060245;42.99;18.25;27.52
Cakildak;203.8576668;16.11085481;17.88969224;14.64139854;54.56968508;0.860268495;14.60749834;0.996875575;0.811020433;1.163616033;16.01850308;89.54040608;806.1082464;2152.107904;169.1068584;14.67356601;17.94576242;12.80268334;50.13864128;0.845329381;14.86564988;1.401718838;0.66857153;40.51;18.3;25.61
Cakildak;214.5109904;16.52645987;17.76872522;15.88929593;55.70872624;0.86858626;14.46761387;0.982917313;0.865062509;1.073549817;16.89942963;95.10772114;897.2089561;2527.05327;199.7073339;15.94601125;18.07753815;15.02521113;54.11410015;0.85700429;14.66313619;1.20314703;0.778082999;39.46;18.41;24.86
Cakildak;175.3083646;14.94019887;17.16220631;13.48290157;51.13588328;0.842482674;14.91588017;0.973322352;0.757821438;1.106281954;15.94418442;92.90288281;798.6456374;2122.292221;172.5199884;14.82090657;17.63260268;13.39421873;50.81489158;0.83959004;14.96726976;1.316433831;0.706507965;46.09;11.72;19.76
Cakildak;237.342407;17.3837205;19.28895579;16.45255932;58.66482506;0.866621874;14.50040784;0.996712358;0.812210113;1.129346846;17.68088511;91.66325693;982.1040678;2894.078198;212.2809908;16.44033309;19.35258014;14.80690922;55.84283204;0.855433196;14.69006659;1.306996609;0.721678625;41.28;15.71;20.05
Cakildak;254.9976326;18.01868668;18.88532814;17.87679068;60.28990835;0.881569924;14.25453645;1.038285285;0.910327292;1.13211498;17.33845534;91.80912933;944.431174;2729.162955;204.9643387;16.15452572;18.18895867;15.17395671;54.85248641;0.856042906;14.67960371;1.198695832;0.788811292;43.67;11.95;16.82
Cakildak;213.0263464;16.46917024;17.58428845;16.22230484;55.79169882;0.860011011;14.61187177;0.927953645;0.877191078;1.025526842;17.22730352;97.96986421;932.3610377;2677.011097;200.2369575;15.96714166;18.94953325;15.34364704;54.74812143;0.839490253;14.96904885;1.235008418;0.709998921;41.06;16.71;22.84
Cakildak;232.2665297;17.19682908;20.23563333;16.42693131;58.22149045;0.861052946;14.59419037;1.081090691;0.722210027;1.200769475;17.83851381;88.15396837;999.6934428;2972.174213;206.082433;16.19852781;18.71779444;14.98664885;54.49033145;0.872191676;14.40780846;1.248964637;0.748931524;42.49;18.61;28.11
Cakildak;243.1204809;17.59405043;20.15367215;15.97052976;59.69486443;0.857348653;14.65724659;0.983983056;0.762120516;1.104081279;18.7721512;93.1450659;1107.076401;3463.700933;235.5648142;17.31849984;20.48172683;16.02586102;58.4235613;0.867249848;14.48990813;1.27804221;0.714969915;41.1;17.33;23.1
Cakildak;191.077691;15.59768163;17.50481297;14.37589833;52.30929281;0.877530361;14.3201548;1.007414412;0.793972609;1.177196111;15.55083233;88.83746635;759.7256399;1969.061007;154.6500953;14.03234182;17.3759803;12.36386135;47.88366858;0.847588828;14.82602201;1.405384597;0.652171846;42.22;16.66;23.87
Cakildak;234.1123033;17.26502367;18.92830426;16.46596759;57.86357092;0.878665629;14.30165263;0.978614848;0.831976974;1.094294213;17.74129223;93.72890452;988.8262907;2923.842697;215.5764266;16.56745096;19.34193446;15.25260884;56.06080812;0.861970544;14.57865434;1.268106634;0.733688885;40.52;19.1;24.95
Cakildak;214.049547;16.50867492;17.90874709;15.64819289;55.40530759;0.876236695;14.34129692;0.993859647;0.849756298;1.160747454;16.06076245;89.68110594;810.3671415;2169.185693;170.5976508;14.73810284;18.01939252;12.83787453;50.91101083;0.827102761;15.19323983;1.403611827;0.66896476;44.85;16.96;26.56
Cakildak;256.4622138;18.07035784;20.89271138;16.3700408;61.06269081;0.864333557;14.53879756;0.987409127;0.748073487;1.162595278;18.69586738;89.48511774;1098.097096;3421.64628;232.2497627;17.19620836;21.15912321;14.78238073;58.9099882;0.840983106;14.94247688;1.431374526;0.660496361;40.67;13.84;16.76
Cakildak;176.6926947;14.99907085;16.50977308;13.94878527;50.08571139;0.885117169;14.19740917;0.985587949;0.825366564;1.125086511;15.15959588;91.82195179;721.9793134;1824.152437;161.3586611;14.33346532;16.75119211;12.59725872;48.23999293;0.871340047;14.42189035;1.329748994;0.732168986;41.08;16.97;25.26
