Name;Projectedarea;Feretdimater;MajorAxisLenght;MinorAxislenght;Perimeter;Shapefactor;Compactness;Elongation;Roundness;Shapeindex;Geo.meandia.;Kuresellik;Surfacearea;Volume;Projectedarea2;Feretdimater3;MajorAxisLenght4;MinorAxislenght5;Perimeter6;Shapefactor7;Compactness8;Elongation9;Roundness10;L;a;b
DeveDisi;265.2371023;18.37689765;23.83006962;13.57377716;64.7540674;0.79489549;15.80883371;0.993089852;0.594694795;1.275259829;19.70335916;82.68275951;1219.635491;4005.152686;265.5550469;18.38790872;23.99588474;13.3770005;65.29503146;0.782715894;16.05483;1.79381654;0.587207387;47.1;15.98;29.98
DeveDisi;266.1270988;18.40770344;23.70933676;14.18107433;64.31308655;0.808537668;15.54209669;0.986912088;0.602782693;1.259912072;19.79255812;83.48001601;1230.703296;4059.794419;260.7250099;18.21991748;24.02375758;13.61273671;64.47337478;0.788191505;15.94329618;1.764799988;0.57518997;44.82;16.71;26.91
DeveDisi;252.6863362;17.93684018;23.84264255;13.11231412;63.15036188;0.796232564;15.78228671;0.992661204;0.565957042;1.345539612;18.70103796;78.435257;1098.704566;3424.485966;217.759018;16.65110786;24.01891246;11.42061281;61.65406549;0.719884089;17.45610274;2.103119408;0.480595784;45.48;16.18;28.15
DeveDisi;277.842358;18.80850545;24.4236683;13.93429329;66.25967021;0.795261174;15.80156434;0.969501757;0.593044326;1.280306034;19.97879217;81.80094787;1253.972361;4175.475532;266.7771045;18.4301698;25.19197942;12.96088036;66.24606587;0.763903033;16.45021694;1.943693539;0.535222614;47.74;15.7;30.31
DeveDisi;231.9439702;17.18488391;22.91105121;12.79259027;61.23086853;0.77741356;16.16433166;1.002144544;0.562604938;1.308076699;18.54076364;80.92498014;1079.952716;3337.191343;226.9147508;16.99755377;22.8620226;12.16811168;60.39068557;0.781866621;16.07226895;1.878847204;0.5527693;43.92;17.23;22.83
DeveDisi;261.9858908;18.26392062;23.78773011;13.60852352;64.02438902;0.803150403;15.64634789;0.979372298;0.589498065;1.305322142;19.1519607;80.51193036;1152.327668;3678.22237;246.0603192;17.70010533;24.28875123;12.15854304;63.25778675;0.772722328;16.26246604;1.997669552;0.531057681;48.36;15.17;28.46
DeveDisi;277.6788893;18.80297164;25.27268624;14.06855751;66.10738688;0.798459232;15.73827456;0.976738266;0.553541948;1.33791574;19.81892068;78.42031706;1233.983932;4076.038279;254.3043583;17.99417587;25.87457369;11.90461596;65.68896281;0.74059173;16.9680137;2.173490836;0.483635178;42.51;15.54;24.78
DeveDisi;295.3516757;19.39209718;23.95171059;15.61307813;67.26450096;0.820308958;15.31907032;0.981407464;0.655506276;1.261053688;19.94905056;83.28862564;1250.241666;4156.8557;266.8934909;18.43418962;24.40547016;13.58135119;65.03627597;0.792933042;15.84795934;1.796983954;0.570524252;43.9;17.74;25.79
DeveDisi;272.4478898;18.62502153;23.77054396;14.51339193;65.12171188;0.807312535;15.56568253;0.984558047;0.61392553;1.300663204;19.23889924;80.93588126;1162.813181;3728.540935;242.0061918;17.5536849;24.14336466;12.40805603;63.10041317;0.763786426;16.45272839;1.945781402;0.528617304;43.39;17.66;26.26
DeveDisi;268.0523972;18.47416878;23.42766219;14.02783052;64.30747596;0.81452915;15.42777273;0.945466093;0.621830865;1.233777533;19.71402141;84.14847907;1220.955832;4011.658237;259.3477704;18.17173181;24.77895544;13.19817018;65.08406786;0.769383741;16.33303376;1.877453851;0.537807699;47.36;15.67;29.11
