Name;Projectedarea;Feretdimater;MajorAxisLenght;MinorAxislenght;Perimeter;Shapefactor;Compactness;Elongation;Roundness;Shapeindex;Geo.meandia.;Kuresellik;Surfacearea;Volume;Projectedarea2;Feretdimater3;MajorAxisLenght4;MinorAxislenght5;Perimeter6;Shapefactor7;Compactness8;Elongation9;Roundness10;L;a;b
GiresunKarasi;312.5765905;19.94955828;21.02466036;19.60714973;67.35876299;0.86572131;14.51549185;1.038250418;0.900345001;1.11234502;19.55075271;92.98962445;1200.816014;3912.809489;264.0271795;18.33493512;20.2500861;17.55232229;62.48930881;0.849663688;14.78981718;1.153698398;0.819795205;47.91;8.37;13.98
GiresunKarasi;296.2299989;19.4209101;20.26681207;19.40634461;65.61950865;0.864515836;14.53573214;1.034320075;0.91826629;1.092907395;19.08086144;94.1483119;1143.787804;3637.409434;250.6100479;17.86299592;19.59433308;17.49355226;61.0547653;0.844829775;14.87444097;1.120088864;0.831089877;44.2;13.09;18.43
GiresunKarasi;253.9301845;17.98093303;18.87066115;18.00241766;60.35969368;0.875850814;14.34761538;1.066185741;0.907926268;1.117689858;17.50792583;92.77855019;962.9836243;2809.974311;213.281391;16.4790261;17.69922484;16.06803361;55.77486546;0.861560472;14.58559325;1.101517788;0.866871964;45.52;11.38;16.83
GiresunKarasi;292.1159973;19.28558113;20.4468695;18.61908388;65.10828911;0.865949645;14.51166437;1.137742993;0.889635647;1.172004123;18.38834876;89.93234274;1062.270131;3255.565607;226.0512048;16.96518002;17.97143083;16.92071519;57.91964257;0.846768988;14.84037653;1.062096408;0.891152439;45.43;10.85;15.54
GiresunKarasi;276.1632996;18.7515875;19.41029088;18.55020149;62.82808;0.879160669;14.29359963;1.016296633;0.933280864;1.108217201;18.07561104;93.12385453;1026.444521;3092.268652;227.993158;17.03789614;19.09904082;15.93071843;58.16577132;0.846830897;14.83929159;1.198881325;0.795809622;47;12;17.78
GiresunKarasi;262.9678583;18.29811674;21.26990548;16.32656327;62.13484161;0.855937674;14.68140847;1.043175327;0.740085738;1.246533172;18.12818728;85.22927991;1032.42441;3119.330509;204.8074132;16.14834039;20.38957875;13.73691858;55.99284154;0.820900501;15.30803136;1.484290573;0.627248528;50.63;6.79;14.34
GiresunKarasi;273.799937;18.67117851;19.0282923;18.65782843;62.5173544;0.880322952;14.27472791;1.016673764;0.962818;1.068801942;18.18670034;95.57715453;1039.099959;3149.633263;229.4447191;17.09204756;18.71622242;16.89054726;58.41773069;0.84488688;14.87343563;1.108088574;0.833973319;49.63;9.62;17.41
GiresunKarasi;320.7608277;20.20904179;21.5230332;19.45983286;68.40477894;0.861426647;14.58785917;1.026185275;0.881626955;1.137879319;19.6689301;91.38549347;1215.376906;3984.193901;253.1208562;17.95225567;20.97382776;16.85625288;62.19512043;0.822290303;15.28215835;1.244275813;0.732627172;51.01;8.24;15.17
GiresunKarasi;309.6880361;19.85716632;21.01424954;18.9926081;66.86856942;0.870342574;14.43841884;1.03835737;0.892908882;1.182397817;18.67204686;88.85421685;1095.300694;3408.584314;232.7793863;17.21580436;20.23797408;15.30716858;60.03043638;0.811729598;15.48098115;1.322123943;0.723637282;47.72;9.02;17.02
GiresunKarasi;246.7963307;17.72655769;19.71011602;16.76891131;60.01307449;0.861106385;14.59328467;1.03587377;0.808855276;1.187621614;17.44870905;88.52666837;956.480472;2781.558244;190.6645011;15.58080815;19.02752689;14.16505867;54.70247691;0.80069243;15.6943792;1.343272014;0.670526024;50.22;9.27;16.21
GiresunKarasi;279.2050348;18.85457216;21.32692877;17.23674327;63.47671555;0.870771518;14.43130644;1.014350653;0.78158658;1.151161102;19.29804057;90.48673054;1169.97326;3763.031906;241.7437563;17.54416456;21.02520337;16.02769692;60.71251729;0.82415453;15.2475903;1.311804402;0.696282277;49.14;10.02;15.34
GiresunKarasi;310.4758237;19.88240671;22.78538728;18.23371125;67.58899216;0.854054747;14.71377644;1.047615677;0.761422041;1.183987512;20.243437;88.84394524;1287.413345;4343.611824;260.4178926;18.20918337;21.74975784;16.73947799;63.62966394;0.808279241;15.54706588;1.299309205;0.700926458;45.62;9.68;15.22
GiresunKarasi;283.2752705;18.99150538;20.17265554;18.01882023;63.66489276;0.878250697;14.3084095;1.049964347;0.886325007;1.158619403;18.22121031;90.32628486;1043.047166;3167.596961;217.8518466;16.65465659;19.21270526;15.60917929;56.81910134;0.847973711;14.81929268;1.230859413;0.751440659;49.67;8.62;15.56
GiresunKarasi;296.120584;19.41732313;20.62747694;18.72339329;65.16520868;0.876288033;14.34045673;1.02930237;0.886108418;1.130689397;18.94403441;91.83883452;1127.442635;3559.718678;246.4711375;17.71487507;20.04025012;16.44629871;60.33045537;0.850947422;14.76750537;1.218526458;0.781394373;47.81;7.88;15.18
GiresunKarasi;219.5520115;16.71951863;18.29361978;16.76369061;56.71658466;0.857683673;14.65152131;1.010075299;0.835311786;1.12874763;16.79665838;91.81703011;886.329664;2481.22943;185.7213474;15.37750837;18.11114459;14.30286772;53.06161855;0.828916345;15.15999858;1.266259672;0.720909113;50.1;8.66;15.43
GiresunKarasi;291.7439866;19.27329709;20.2927094;19.03231695;65.51182787;0.854225129;14.71084166;1.03049502;0.902053563;1.102702416;18.98112528;93.53667324;1131.861838;3580.668558;247.196918;17.74093829;19.69219551;17.11321837;60.08432662;0.860459669;14.60425289;1.150700884;0.811643396;45.31;9.45;14.44
GiresunKarasi;320.5857638;20.20352623;22.36664866;19.06677917;68.35401773;0.862235706;14.57417099;1.040029471;0.815929972;1.198252455;19.67186215;87.95176447;1215.739285;3985.975939;250.5315852;17.86019937;21.50578352;15.82633053;61.81305851;0.823970919;15.25098801;1.358861012;0.689703504;51.39;7.47;14.1
GiresunKarasi;259.4446973;18.17512719;19.52270447;17.72495553;60.98730325;0.876548201;14.33620034;1.045111013;0.866713027;1.132132366;17.93086935;91.84623665;1010.071688;3018.577244;216.8318308;16.61562101;18.68002942;15.80834853;55.93070557;0.871028378;14.42705075;1.18165597;0.791185666;45.92;13.07;19.81
GiresunKarasi;294.435594;19.36199994;20.60677967;18.93548908;65.30262468;0.86763867;14.48341463;1.037637122;0.882837029;1.152489274;18.6695708;90.59916735;1095.010223;3407.22848;232.8186176;17.21725503;19.85933159;15.90113947;59.09398098;0.837801385;14.99922396;1.248925061;0.751621055;46.9;9.26;14.66
GiresunKarasi;248.0436609;17.77129702;19.9923176;16.86650037;59.99204851;0.86606525;14.50972732;1.03653729;0.790155074;1.15762572;18.0507463;90.28841308;1023.622516;3079.525058;206.7885978;16.22625712;19.28760093;15.25260884;55.93070557;0.830684021;15.12773847;1.264544389;0.707751259;47.94;7.37;14.04
GiresunKarasi;248.7001506;17.79479886;19.32668389;16.95707678;59.9412873;0.869828796;14.44694712;0.973881566;0.847757903;1.129249892;17.66980662;91.4269966;980.8737205;2888.641494;204.5524092;16.13828418;19.84500432;14.38423762;56.45694637;0.806454174;15.58225008;1.379635462;0.661321571;51.23;7.41;14.33
GiresunKarasi;199.6166101;15.94238883;17.72989319;14.99857024;53.80876598;0.866364155;14.5047213;1.06514836;0.808527737;1.22561913;15.3630986;86.65082431;741.4931469;1898.605388;150.1581025;13.82704719;16.64546824;12.2866735;47.44188582;0.838368105;14.98908479;1.35475792;0.690028811;46.95;12.27;19.4
GiresunKarasi;284.2162389;19.0230217;19.93037845;18.29661006;63.88896356;0.874998012;14.36159904;1.017150131;0.911020779;1.127190619;18.32931824;91.96673455;1055.460852;3224.312974;224.462334;16.90545237;19.59433308;15.76859154;58.41773069;0.826540187;15.20358092;1.242617835;0.744377072;48.46;9.99;16.25
GiresunKarasi;326.0346276;20.3744983;21.09998522;19.4485844;68.79600097;0.865659709;14.51652477;1.051878971;0.932416417;1.161112878;19.03105603;90.1946415;1137.824501;3609.000305;249.7273419;17.83150939;20.05932793;16.28508891;60.59066047;0.854800142;14.70094587;1.231760418;0.790212369;48.4;7.45;13.19
GiresunKarasi;285.769931;19.07494631;20.45756906;18.31274912;63.85922833;0.880600771;14.2702244;1.054477659;0.869398654;1.156149168;18.51367623;90.49792852;1076.799474;3322.586135;229.8958799;17.10884349;19.40066619;15.98848537;59.27214316;0.822317989;15.28164383;1.213414888;0.777693353;49.55;9.45;15.85
GiresunKarasi;231.2594097;17.1595054;19.11950059;16.32656327;57.81952018;0.869281246;14.45604708;1.045748421;0.805483799;1.16130987;17.23451677;90.14104051;933.1419802;2680.375185;192.7829956;15.66712908;18.28307861;14.64439594;53.43784985;0.848360887;14.81252944;1.248469291;0.734311884;48.27;9.98;16.48
GiresunKarasi;235.3077623;17.30904816;17.90490893;17.61784015;58.47070661;0.864907043;14.52915746;1.089044734;0.934549924;1.146942407;16.32555557;91.17921588;837.3083936;2278.254118;185.4074963;15.36450963;16.44093063;14.78105371;52.20962119;0.854744016;14.70191119;1.112297604;0.873343276;51.48;10.96;18.9
GiresunKarasi;261.1515703;18.23481578;20.50458083;17.17569654;61.35494843;0.871772801;14.41473123;1.046347731;0.790863142;1.168555282;18.39768029;89.72473247;1063.348545;3260.524428;211.0452024;16.39240975;19.59633516;15.49756436;56.68899879;0.825254259;15.22727144;1.264478385;0.699739277;47.43;12.58;19.47
GiresunKarasi;261.9393579;18.26229856;19.41479992;17.41420219;61.48620606;0.870673307;14.43293427;1.0348071;0.884800594;1.149625532;17.61848977;90.74772771;975.1846642;2863.546838;203.9050914;16.11272869;18.76175755;15.01411012;55.23454833;0.839878222;14.96213413;1.249608362;0.737550084;49.86;6.38;15.77
GiresunKarasi;226.5545674;16.98405824;18.30079562;16.46736101;56.57916865;0.889343556;14.12993948;1.091553653;0.861278023;1.160033513;16.55460111;90.45836832;860.9678752;2375.496624;182.7986096;15.25602892;16.76582325;14.78636109;51.57318479;0.863644178;14.55040273;1.133870812;0.828006234;45.8;8.7;14.5
GiresunKarasi;277.8264066;18.80796553;20.30079554;18.660174;63.67105112;0.861190731;14.5918554;1.019142227;0.858337116;1.076210325;19.31050598;95.12191749;1171.485218;3770.328719;251.3946755;17.89093743;19.9194921;17.80695424;61.25866504;0.841842569;14.92722165;1.118635553;0.806696252;50.11;9.09;16.18
GiresunKarasi;300.1251707;19.5481773;20.22465818;19.12922668;65.30262468;0.884404635;14.20884753;1.018953337;0.934222935;1.128781537;18.58301807;91.88297725;1084.880753;3360.059774;235.0155749;17.29829828;19.84846357;15.98603145;59.07407403;0.846277243;14.8489998;1.241612944;0.759544706;47.33;11.79;17.46
