Name;Projectedarea;Feretdimater;MajorAxisLenght;MinorAxislenght;Perimeter;Shapefactor;Compactness;Elongation;Roundness;Shapeindex;Geo.meandia.;Kuresellik;Surfacearea;Volume;Projectedarea2;Feretdimater3;MajorAxisLenght4;MinorAxislenght5;Perimeter6;Shapefactor7;Compactness8;Elongation9;Roundness10;L;a;b
KaraFindik;368.6330843;21.66467679;23.45679201;21.18783224;74.60592363;0.832257181;15.0991435;0.99835046;0.853036396;1.048751578;22.70478722;96.79408508;1619.512775;6128.448827;377.8979592;21.93523707;23.49554886;21.23724107;73.75940008;0.872870185;14.39660884;1.106337155;0.871593219;41.1;15.08;18.78
KaraFindik;344.5778395;20.94588579;22.15299262;20.96173718;71.50990884;0.846768627;14.84038286;0.933535811;0.893990747;1.028739511;21.66283582;97.78740143;1474.280504;5322.849418;344.1836735;20.93390226;23.7302012;19.3380243;71.08992986;0.855823008;14.68337553;1.227126455;0.778211976;42.43;14.44;18.82
KaraFindik;347.3264371;21.02925949;22.89190238;20.49472776;71.5727489;0.852024946;14.74882945;0.999162211;0.843887504;1.11423462;21.20465102;92.62948384;1412.575809;4992.196177;322.3673469;20.25958672;22.91109703;18.17881701;68.59623785;0.860915078;14.59652751;1.260318371;0.781933394;39.6;12.44;14.34
KaraFindik;318.5765073;20.14011438;22.3562829;18.57037205;68.26218474;0.859138622;14.62670899;0.958733547;0.811568233;1.075953706;21.18475579;94.75974107;1409.926358;4978.157597;310.4285714;19.88089367;23.31855703;18.23766007;67.4103071;0.858457776;14.63830949;1.278593687;0.726890222;49.38;9.95;17.99
KaraFindik;316.5301062;20.07532436;21.20155784;19.71333532;67.95876609;0.861259286;14.5906939;0.922946964;0.896581891;1.064620183;20.17372614;95.15209348;1278.561867;4298.892827;289.8163265;19.20951867;22.97158849;16.85774817;65.25135019;0.855369393;14.69116234;1.362672419;0.699280274;41.07;10.18;15.16
KaraFindik;294.6015135;19.36745458;21.07056559;18.39506585;65.5466645;0.861675302;14.58364954;0.936719785;0.844876193;1.040603352;20.43436715;96.9806295;1311.812878;4467.677664;294.6530612;19.36914891;22.49399013;18.00283424;65.91240976;0.852288134;14.74427499;1.249469379;0.741461222;44.86;10.15;15.04
KaraFindik;336.8336155;20.7091738;21.57489302;19.81636518;70.14208246;0.86033577;14.60635609;0.9427239;0.921358423;1.045663091;20.85856213;96.67979398;1366.841764;4751.725643;312.3469388;19.94222841;22.88569645;18.37978037;68.12879814;0.845640283;14.86018449;1.245156144;0.759310618;41.38;13.18;16.69
KaraFindik;364.0387131;21.52924721;22.82563731;21.68573281;72.57431658;0.868543401;14.46832778;0.972206813;0.88963576;1.081585968;21.5710595;94.50364608;1461.815152;5255.483603;336.3061224;20.6929518;23.4781705;18.72954667;69.75940008;0.86843869;14.47007228;1.253536506;0.776813483;43.2;12.05;15.81
KaraFindik;303.7902559;19.66717486;22.31406476;18.28951437;66.61696892;0.860228778;14.60817278;0.944439726;0.776831714;1.082050898;21.02037121;94.20234028;1388.13041;4863.169416;305.8979592;19.73528257;23.62677485;17.61724573;67.42466497;0.845568604;14.86144418;1.341116269;0.697715192;40.96;13.58;18.06
KaraFindik;338.7797029;20.76891222;21.57535797;20.62986305;69.99037314;0.869061737;14.45969841;0.95174272;0.926641717;1.049046002;20.82446657;96.51968044;1362.376918;4728.462097;322.2653061;20.25638002;22.66931757;18.46397485;68.83293131;0.854733819;14.70208658;1.22775934;0.798448935;44.84;11.97;18.12
KaraFindik;363.9785248;21.52746737;22.74242418;21.41809802;72.67742169;0.865937607;14.51186612;0.986501223;0.896009749;1.132284581;20.78116534;91.37621027;1356.717107;4699.027086;305.244898;19.7142049;23.05361984;17.11724277;67.46773857;0.842686373;14.91227463;1.346806852;0.731274862;40.95;13.69;16.06
KaraFindik;350.4361643;21.12319063;22.39573414;20.63180798;71.92477176;0.851259158;14.76209741;0.991779153;0.889587757;1.10229924;20.90050035;93.3235777;1372.343634;4780.444766;316.6734694;20.07987012;22.58137213;18.05320934;67.64105335;0.869762782;14.44804362;1.250823148;0.79071779;40.03;14.09;17.64
KaraFindik;359.0430868;21.38101626;23.00424576;20.84993534;72.52571236;0.857773108;14.64999369;0.98806116;0.86385541;1.077846905;21.82242074;94.86257872;1496.081854;5441.354615;340.2857143;20.81502409;23.28220833;19.40334497;70.61654293;0.857512927;14.65443869;1.199906942;0.799292726;41.46;13.93;15.57
KaraFindik;385.2249837;22.14686621;24.2784633;21.98572236;75.64185967;0.846057568;14.85285528;1.05041109;0.83211345;1.167251647;21.80934097;89.82998925;1494.288969;5431.576274;325.7755102;20.36640033;23.11329682;18.48606756;69.40435988;0.849874486;14.7861488;1.250309009;0.776435039;42.67;16.79;20.88
