Name;Projectedarea;Feretdimater;MajorAxisLenght;MinorAxislenght;Perimeter;Shapefactor;Compactness;Elongation;Roundness;Shapeindex;Geo.meandia.;Kuresellik;Surfacearea;Volume;Projectedarea2;Feretdimater3;MajorAxisLenght4;MinorAxislenght5;Perimeter6;Shapefactor7;Compactness8;Elongation9;Roundness10;L;a;b
OrmanFindigi;362.8541057;21.49418983;23.15373216;21.28687819;74.32985843;0.825306555;15.22630657;0.968406107;0.861788148;1.082144221;21.86519848;94.434877;1501.953039;5473.416883;333.9526626;20.62042037;23.90911414;18.88320821;70.55960791;0.842912427;14.90827541;1.266157418;0.743820983;42.11;18.76;24.85
OrmanFindigi;317.3276123;20.10059861;21.2398968;20.93773869;68.39289228;0.852502748;14.74056317;1.026817573;0.895598887;1.081494724;20.13995083;94.82132153;1274.284258;4277.337049;287.0537415;19.11774503;20.68517071;18.59360953;65.32219936;0.845379045;14.86477656;1.112488174;0.854191958;45.26;16.6;26.02
OrmanFindigi;312.6721549;19.95260765;21.1864032;20.11992582;67.70641147;0.857115756;14.66122928;0.976588778;0.886921588;1.045643587;20.53095498;96.90627892;1324.243369;4531.330166;303.010156;19.64190706;21.69429311;18.82888987;66.51121514;0.860750502;14.59931837;1.15218121;0.819741012;43.61;17.56;21.75
OrmanFindigi;292.9446544;19.31291584;22.10100599;17.73238137;65.77874846;0.850793629;14.77017479;1.017776465;0.763610653;1.176112293;19.67430824;89.01996702;1216.041646;3987.463029;270.5402899;18.55970354;21.71499022;15.86816594;64.609906;0.814410936;15.43001212;1.368462511;0.730504945;48.55;15.33;25.63
OrmanFindigi;334.4946113;20.63714531;21.35238763;20.18393704;69.41731276;0.872295023;14.40610147;0.988095322;0.934128712;1.093798966;20.0364994;93.83727831;1261.226832;4211.761778;283.0646379;18.98444338;21.60964347;17.43297458;64.33949796;0.859290769;14.62411917;1.239584407;0.771793116;46.98;16.64;26.57
OrmanFindigi;318.7824427;20.14662285;21.97778649;19.88865741;68.60385587;0.851152162;14.76395312;1.025495732;0.840305062;1.153255871;19.88088142;90.45897973;1241.711707;4114.387203;278.033336;18.81496846;21.43137782;16.68295055;64.79947886;0.832077366;15.1024065;1.284627546;0.770738708;43.07;18.46;23.94
OrmanFindigi;340.7212855;20.82834162;22.73908817;20.25588742;70.93365003;0.850950923;14.7674446;0.988701286;0.839003282;1.150444484;20.52432693;90.26011411;1323.388492;4526.943009;286.9638968;19.11475298;22.99894668;16.53201458;66.27564418;0.820973634;15.3066677;1.391176289;0.690751527;43.93;16.85;23.98
OrmanFindigi;328.4619145;20.45020045;22.33715834;18.82285055;69.26813897;0.860256266;14.60770599;1.001629815;0.838184567;1.151475173;20.1797046;90.34141359;1279.31978;4302.715876;282.4357251;18.96334185;22.30081215;16.49665194;65.05968335;0.838504897;14.98663951;1.351838678;0.723084007;43.42;16.48;20.8
OrmanFindigi;333.4665311;20.60540643;22.83995173;18.89074388;69.81124411;0.859827558;14.61498936;1.022551453;0.813902484;1.133983422;20.91998061;91.59380398;1374.903006;4793.824038;305.256273;19.71457222;22.33623712;17.94645359;66.67384294;0.862905995;14.56285006;1.244604513;0.779031574;45.15;17.23;25.82
OrmanFindigi;311.9544386;19.92969461;21.14974849;19.77617793;67.26468823;0.866416603;14.50384326;1.030145438;0.887955579;1.142633072;19.27365892;91.12949463;1167.018778;3748.786979;262.3644244;18.27711028;20.5308374;16.48848056;62.66028725;0.839711396;14.96510667;1.245162483;0.792505171;42.69;17.55;22.41
OrmanFindigi;315.4654293;20.04153337;21.28140997;20.5850336;68.27751245;0.850366724;14.77758979;1.048470315;0.88687306;1.147024892;19.36423683;90.99132464;1178.013526;3801.888817;262.0948904;18.26771959;20.29757987;16.80956596;62.40566326;0.845707947;14.85899554;1.207501724;0.809991612;43.16;18.4;24.52
OrmanFindigi;317.0948394;20.09322495;21.00849246;20.19690703;67.93717111;0.863344487;14.55545359;0.994793246;0.91476572;1.084801649;19.84440112;94.45894874;1237.158946;4091.77973;286.4248288;19.09679079;21.11845104;17.61396142;65.41977604;0.84101244;14.94195568;1.1989609;0.8177057;43.5;17.28;22.7
OrmanFindigi;344.7366175;20.95071106;22.440693;19.643315;70.74248248;0.865638748;14.51687629;1.018056188;0.871616359;1.103286148;20.96811034;93.43789135;1381.236647;4826.987071;316.0376341;20.05970123;22.0426861;18.63704696;67.98179996;0.859336676;14.62333794;1.182734912;0.828171451;43.89;16.7;21.55
OrmanFindigi;302.2749668;19.61806415;21.12083814;19.06450722;66.13068605;0.86857233;14.46784589;1.013241216;0.862760733;1.136559499;19.296979;91.36464602;1169.844546;3762.410939;262.0409835;18.26584087;20.84482729;16.32144191;62.22956292;0.850326245;14.77829326;1.277143736;0.767861874;44.04;16.38;22.89
OrmanFindigi;336.4537829;20.69749409;21.8942213;20.41851131;70.12358961;0.859818927;14.61513607;1.01477124;0.893669414;1.131525762;20.07354435;91.68421239;1265.89484;4235.166038;276.7934794;18.77297003;21.57552405;17.12305806;64.39896858;0.838702419;14.98311002;1.2600275;0.757083244;46.05;17.72;26.7
OrmanFindigi;317.1724304;20.09568314;22.18641532;19.49114461;68.93599742;0.838712598;14.98292817;1.020970716;0.820411309;1.088034891;20.94269733;94.39423642;1377.890603;4809.457643;305.4000244;19.71921368;21.73070684;19.051837;67.48602451;0.842657792;14.91278042;1.14060953;0.823439786;43.23;17;21.85
OrmanFindigi;296.9793841;19.44545952;21.06013538;19.68720963;65.94771829;0.858097463;14.64445608;1.027820069;0.852539422;1.114431182;19.54612605;92.81101803;1200.247737;3910.03226;269.2105887;18.51403704;20.4900994;17.3052095;63.16395471;0.847936587;14.8199415;1.184042262;0.816421612;44.22;16.6;23.55
OrmanFindigi;356.8989999;21.31708048;22.26191442;21.95438495;72.41379168;0.855288472;14.69255231;1.000917381;0.916918634;1.143219884;20.22335637;90.8428448;1284.860493;4330.698606;286.7842075;19.10876746;22.24151049;16.70447833;65.72597862;0.834239931;15.06325716;1.331469924;0.738137316;45.01;17.53;24.42
OrmanFindigi;349.0235178;21.08057269;22.1479124;21.77428613;70.80427229;0.874874238;14.36363087;1.026866502;0.905940307;1.131107028;20.33125239;91.79760161;1298.607089;4400.384748;295.3194517;19.39103928;21.56844376;17.59303586;66.53816019;0.838224482;14.99165306;1.225964861;0.808285743;43.41;16.83;23.21
