Name;Projectedarea;Feretdimater;MajorAxisLenght;MinorAxislenght;Perimeter;Shapefactor;Compactness;Elongation;Roundness;Shapeindex;Geo.meandia.;Kuresellik;Surfacearea;Volume;Projectedarea2;Feretdimater3;MajorAxisLenght4;MinorAxislenght5;Perimeter6;Shapefactor7;Compactness8;Elongation9;Roundness10;L;a;b
Tombul;217.3897078;16.63698207;17.54049209;16.38670274;56.96133808;0.841954218;14.92524218;0.992403979;0.899634119;1.066382778;16.77360178;95.62788599;883.8980226;2471.025574;198.1974171;15.88561579;17.67474987;15.22242823;54.66597415;0.833438716;15.07773801;1.161099241;0.807796418;40.13;16.92;21.76
Tombul;225.8539523;16.95777649;17.7542974;17.10647588;58.09184564;0.841021715;14.9417909;0.996207635;0.912286398;1.101020034;16.58932093;93.4383409;864.5830631;2390.474317;179.4531973;15.11578338;17.82188449;14.4287501;52.40198575;0.821231454;15.30186228;1.235164818;0.719373503;41.83;15.65;19.37
Tombul;256.901756;18.08583631;19.82954811;17.53211604;63.35879112;0.80419834;15.62595941;1.016870049;0.831863222;1.120347128;18.31910281;92.38285565;1054.284704;3218.92498;224.4351962;16.9044304;19.5005725;15.89836344;58.35230379;0.828294571;15.17137871;1.22657735;0.751461486;42.67;18.77;23.99
Tombul;238.724745;17.43427044;20.06747162;16.5072687;59.74276246;0.840498034;14.95110055;1.018103868;0.754783867;1.114558742;18.61167511;92.74549112;1088.229341;3375.628491;223.6507465;16.87486221;19.71063292;16.29908261;58.02162632;0.834834562;15.05252799;1.209309345;0.732959027;38.12;14.9;18.08
Tombul;254.0925816;17.98668182;19.53523557;17.28532105;60.88688859;0.861299682;14.59000959;0.990759257;0.847744861;1.133871387;17.83981417;91.32121345;999.8391968;2972.824246;204.2665808;16.12700494;19.71743935;14.74014693;56.98524651;0.79046441;15.89745277;1.337669118;0.668970208;40.95;15.99;20.15
Tombul;189.1694391;15.51960085;18.59530865;14.6567125;53.61067114;0.827100631;15.19327896;1.046394149;0.696553821;1.214450276;16.19448611;87.0890955;823.9177298;2223.820705;162.0920861;14.36600341;17.7708454;12.85257166;49.83021923;0.820325251;15.31876607;1.382668455;0.653515842;40.15;15.07;21.15
Tombul;219.299212;16.70989015;17.4423458;16.97827112;56.37283595;0.867175837;14.49114479;1.003158238;0.917778273;1.112719156;16.1787151;92.75538557;822.3137658;2217.330023;167.5832342;14.60731327;17.38743215;13.96341808;51.70824622;0.787627399;15.95471491;1.245213174;0.705781315;39.73;17.64;21.32
Tombul;219.1339664;16.70359337;18.80151492;15.59914292;56.64383866;0.858250785;14.64183992;0.997265354;0.789286179;1.145316316;17.04837497;90.67553885;913.0939882;2594.461448;179.742205;15.1279504;18.85307139;13.97893259;53.83876736;0.779237264;16.12650112;1.348677467;0.643867237;36.85;16.59;17.52
Tombul;241.2217889;17.52521386;20.40139288;16.19340406;59.23363518;0.863952022;14.54521813;1.028561816;0.737916771;1.138880578;18.63514212;91.34249917;1090.975316;3388.413343;216.5494121;16.60479674;19.83487289;15.99222483;57.24372207;0.830445515;15.13208318;1.240282268;0.700823492;39.75;16.07;19.86
Tombul;241.2952314;17.52788152;20.24464614;16.23586712;59.67700618;0.851421373;14.75928491;1.00122574;0.749615995;1.139034499;18.44378659;91.10451455;1068.684924;3285.099444;208.5191241;16.294011;20.21986184;15.32716707;57.2088599;0.800625042;15.69570017;1.319217162;0.649381646;41;14.26;18.16
Tombul;198.0559778;15.87994657;18.09488565;15.24917103;53.92019298;0.856041744;14.67962363;1.005113848;0.770170278;1.094003236;16.99834986;93.94007894;907.7432608;2571.689589;186.5338882;15.41111037;18.00282196;15.07730991;54.12612368;0.800117475;15.70565698;1.194034086;0.732802691;40.81;16.56;20.94
Tombul;228.075587;17.04097581;20.07067367;15.77645483;57.71987192;0.860276279;14.60736618;0.984600585;0.720884001;1.130649383;18.35647144;91.45916945;1058.590304;3238.663781;220.4510173;16.7537146;20.38458434;15.11832924;57.46135406;0.839016033;14.97750952;1.348335786;0.675489919;39.47;15.82;18.29
Tombul;206.6487467;16.22076928;18.30071088;15.36014099;54.89195083;0.861837344;14.58090752;1.017811737;0.785610612;1.11910822;16.92175985;92.46504117;899.5815932;2537.083948;183.4373761;15.28266081;17.98044787;14.72543445;52.84323112;0.825503586;15.22267236;1.221047021;0.722432549;39.91;15.64;18.97
Tombul;269.8276305;18.53524236;20.65006864;17.88258566;62.31329942;0.873242349;14.3904732;1.000938678;0.805663903;1.097983567;19.34150982;93.66317446;1175.249976;3788.518157;246.8745871;17.72936792;20.63070305;16.98382827;61.01421642;0.833343734;15.07945653;1.21472631;0.738514142;38.96;17.26;20.53
Tombul;258.1686386;18.13037561;20.27862776;17.19372844;61.877906;0.847309609;14.8309077;1.042249796;0.79934975;1.116580968;18.80934009;92.75450151;1111.467131;3484.32721;247.3906725;17.74788965;19.45659077;16.86612712;59.80352578;0.869239808;14.45673622;1.153589715;0.832070869;38.61;14.92;16.82
Tombul;193.1904143;15.68367543;17.0591847;14.36314363;53.61067114;0.844681436;14.87705314;0.977921598;0.845238979;1.018409918;16.84333791;98.73471802;891.2629001;2501.973699;209.6338684;16.33750688;17.44432758;16.05727997;55.79497766;0.846215735;14.85007912;1.086381231;0.877128994;38.8;16.34;20.19
Tombul;198.1110597;15.88215462;17.27310133;15.29425589;53.67642742;0.864074881;14.54315001;1.004844949;0.845431772;1.090254442;16.2667982;94.17416068;831.2921203;2253.743528;175.7373827;14.95846868;17.18981754;14.49654972;51.16241434;0.843668739;14.8949108;1.185786816;0.757237487;40.54;14.19;17.98
Tombul;232.1149228;17.19121574;18.58790184;16.82182607;58.17686149;0.861811628;14.58134261;1.089777618;0.855367622;1.117270025;17.25968149;92.85438261;935.8689962;2692.133466;201.8306579;16.03055754;17.05660085;16.21718513;54.44834217;0.855515098;14.68866026;1.051760877;0.883308986;41.88;15.41;20.51
Tombul;181.4579799;15.19998275;18.33328827;14.15713592;52.13542701;0.838919068;14.97924066;0.979192269;0.687394136;1.129471199;16.77025653;91.47435136;883.5454967;2469.547439;176.150251;14.97602969;18.72286869;13.74062094;52.26851848;0.810238265;15.50947562;1.36259262;0.639806973;41.72;15.52;19.1
Tombul;197.0828651;15.84088689;16.66721748;16.18886809;54.11979841;0.845563818;14.86152831;0.955063331;0.903302367;1.037401226;16.22377622;97.33944037;826.900778;2235.908863;170.2668781;14.72380801;17.45142646;14.68120856;51.8212917;0.796752746;15.77198281;1.188691407;0.711834111;39.37;16.4;19.03
Tombul;204.0415391;16.11811888;17.68850694;15.6819038;54.28418912;0.870125197;14.44202589;0.989178588;0.830322341;1.096869671;16.56513893;93.64916429;862.0643208;2380.035873;180.7330889;15.16959182;17.88201559;14.37068937;52.31782103;0.829751869;15.14473312;1.244339442;0.719639873;41.61;12.6;15.25
Tombul;236.8336014;17.36507722;18.12124827;16.86433991;58.40934506;0.87234547;14.40526838;0.983423997;0.918285198;1.083399552;17.11952703;94.47211789;920.7315602;2627.081472;194.254525;15.72680969;18.42668913;15.02587828;54.06238074;0.835200363;15.04593528;1.226330254;0.728428638;38.6;15.84;18.77
Tombul;175.8212704;14.96203844;17.58231248;13.9901458;51.42903088;0.835342536;15.04337451;0.996648849;0.724152294;1.076537474;16.7028309;94.99791863;876.4551044;2439.880234;187.5041287;15.45113819;17.64143158;15.02313031;53.53098925;0.822261887;15.28268647;1.174284667;0.767102982;41.09;12.46;16.63
Tombul;201.8933468;16.0330469;17.3282871;15.66726177;54.17193613;0.864536147;14.53539064;0.941622348;0.856093546;1.006949647;17.22074747;99.37939836;931.651531;2673.955957;202.2435262;16.04694536;18.40258692;16.01479861;55.46430019;0.826147166;15.21081368;1.149098866;0.760374176;38.63;16.34;19.39
Tombul;231.3254162;17.16195407;19.54698044;16.21719707;57.85936207;0.868332257;14.47184591;0.992805674;0.770858172;1.181854973;17.27256859;88.36438264;937.2670678;2698.168286;182.7974303;15.25597971;19.68862684;13.38984876;53.62113537;0.798928547;15.72902941;1.470414431;0.600412487;38.69;16.21;18.68
Tombul;219.0972452;16.70219377;17.62611709;16.49781166;56.4522108;0.863942566;14.54537734;1.0039044;0.897912672;1.077182553;16.74391746;94.99492928;880.7723147;2457.929824;193.552649;15.6983721;17.55756533;15.16876698;54.72971709;0.812012243;15.47559255;1.15748138;0.799431062;42.15;16.29;22.19
Tombul;189.7937001;15.54518718;16.46494801;15.33322221;52.65253187;0.860306368;14.60685529;0.906046174;0.891397785;1.026131528;16.08889059;97.71601213;813.208113;2180.602727;174.0239794;14.88536907;18.17230565;13.91899564;51.89699744;0.811959739;15.47659324;1.305575928;0.670964457;39.87;14.8;17.56
Tombul;207.9156293;16.27041491;17.28744534;15.94200939;54.7933164;0.870245581;14.44002807;1.052331157;0.885800626;1.085476631;16.36214158;94.64753903;841.0654598;2293.605355;171.5467697;14.77904364;16.42776157;15.42450471;51.33672518;0.817967572;15.36292031;1.065043052;0.809349771;42.5;10.89;14.38
Tombul;215.8106947;16.57645048;18.04204485;15.74675;55.55982782;0.878538998;14.30371406;1.006289173;0.844135048;1.090689059;16.98751404;94.15514805;906.5863237;2566.77465;189.6097569;15.53765235;17.92928447;15.15447062;53.95779424;0.818393498;15.3549248;1.183101998;0.751009189;40.44;16.93;21.24
Tombul;219.0972452;16.70219377;18.62638512;16.42307726;56.93410094;0.849379641;14.79476315;0.984466061;0.804063311;1.089168399;17.52878248;94.1072697;965.2793365;2820.028587;197.8464791;15.87154564;18.92029178;15.28265635;54.97375226;0.822673348;15.27504281;1.238023767;0.703692872;41.6;16.71;22.51
Tombul;241.0014615;17.51720843;18.91445549;17.74809141;59.7756406;0.847580706;14.82616407;1.048836186;0.857713953;1.085279513;17.9029483;94.65220034;1006.928472;3004.498062;214.0309156;16.50795643;18.03375565;16.82262053;55.82138084;0.863147909;14.55876853;1.071994439;0.837943301;39.71;14.99;17.49
Tombul;255.1024155;18.02238839;19.93298162;17.61361261;60.89252959;0.864562518;14.53494728;0.975450046;0.817486376;1.073067408;18.95383772;95.08782021;1128.609813;3565.247874;250.1981768;17.8483112;20.43465138;16.7167549;60.5236685;0.858308705;14.64085189;1.222405395;0.762886905;39.88;13.62;15.57
Tombul;206.4651405;16.21356165;18.49581087;15.39297779;54.71958254;0.866504952;14.50236445;0.996985322;0.768440896;1.079048372;17.54130748;94.83935365;966.659289;2826.07797;200.6126965;15.98211558;18.55173838;15.7299701;55.10721953;0.830139887;15.13765428;1.179388026;0.742163648;42.16;16.37;23.02
Tombul;230.8847614;17.14560027;18.54933871;17.02363011;57.90585878;0.865286883;14.5227795;0.976432246;0.854375709;1.103037382;17.27748294;93.14339023;937.8004817;2700.471971;191.4263773;15.61190679;18.99705667;14.63614383;54.37861783;0.8134958;15.44736999;1.297955041;0.675366678;41;18.85;23.9
Tombul;240.7811341;17.50919934;19.3785888;16.88555669;58.65875162;0.879359961;14.29036023;0.972743221;0.816373025;1.077779366;18.36275177;94.75794116;1059.314783;3241.989067;224.9099947;16.92230183;19.9215871;16.03862778;58.49175246;0.826093781;15.21179666;1.24210047;0.721558209;42.65;10.47;13.68
Tombul;228.8650935;17.07044485;17.78013237;17.25555358;57.33097522;0.875005463;14.36147675;0.955831439;0.921764684;1.029162939;17.40835085;97.90900591;952.0609839;2762.30194;209.3861474;16.32785115;18.60174466;15.95086445;56.10873716;0.835789329;15.03533268;1.166190379;0.770461735;41.27;15.84;19.65
Tombul;194.5674606;15.73947219;16.21040263;16.01956138;52.89065643;0.87402159;14.37764326;1.009132133;0.942742514;1.067186301;15.50554626;95.65182688;755.3072406;1951.90856;165.1885982;14.5025741;16.06370673;14.31599851;50.01298905;0.82989722;15.14208063;1.122080777;0.815077716;39.58;15.37;18.5
Tombul;203.1969507;16.08472545;17.81314646;15.5802991;55.1300754;0.840136547;14.95753358;0.968471624;0.815354354;1.077183659;16.88023398;94.76278667;895.1718778;2518.451791;180.3615075;15.15398969;18.39304943;14.68050549;53.47322772;0.79264901;15.85363819;1.252889381;0.678807866;40.19;14.83;16.85
Tombul;208.1910385;16.2811874;16.92519866;16.70847643;54.8999284;0.868017217;14.47709834;0.994450628;0.925347737;1.050767415;16.35803097;96.64897468;840.6429166;2291.877144;176.8727705;15.00671203;17.01964701;15.19528166;52.87211189;0.795092262;15.80492128;1.120061305;0.777446239;40.2;15.57;18.74
Tombul;171.3596404;14.77098069;16.92465625;14.18563938;50.18627033;0.854965446;14.69810349;0.988170893;0.76169186;1.092588545;15.89485647;93.91538732;793.7115992;2102.655325;161.8237218;14.3541061;17.1272564;13.85358507;49.81577885;0.819441963;15.33527838;1.236304994;0.702387982;38.66;16.69;19.73
Tombul;188.214687;15.48038702;17.16754576;14.65733884;52.06402973;0.872544962;14.40197487;1.010275082;0.813106753;1.196240799;15.06048625;87.72649547;712.569934;1788.608283;137.0103382;13.20783785;16.99294189;11.70954975;49.0318932;0.716153103;17.54704486;1.451203697;0.604124821;36.82;15.75;17.79
Tombul;206.538583;16.21644509;17.31927837;16.17468499;54.69468198;0.867602619;14.48401646;0.999532913;0.876702194;1.095328767;16.24916039;93.82123229;829.4903861;2246.420388;175.3245145;14.94088702;17.32737176;14.2965185;52.51503123;0.798886814;15.72985109;1.211999394;0.743511592;39.11;15.7;18.17
Tombul;182.7615837;15.25448379;16.63965467;14.94451564;52.28853573;0.840004894;14.95987785;0.972797969;0.840440128;1.064796741;15.9098446;95.61403117;795.2091734;2108.609063;163.1036134;14.41075885;17.10494389;14.14919886;50.15243772;0.814871919;15.42128317;1.208898402;0.709791444;39.67;16.74;19.29
Tombul;236.5581921;17.35497752;18.50424682;17.29169313;58.2233582;0.876906632;14.3303405;0.984993575;0.879641383;1.05053108;17.87954683;96.62401827;1004.29782;2992.731651;212.007861;16.42975327;18.78615992;16.44220632;56.3816531;0.838081431;14.99421197;1.142557121;0.764867874;39.7;16.35;20.13
Tombul;217.1510197;16.62784609;17.67812393;15.84902533;55.85806767;0.874580765;14.36845071;1.039987052;0.884708114;1.050815499;17.10288987;96.74606841;918.9428528;2619.429735;201.5210067;16.01825568;16.99840771;16.64807723;55.10123813;0.834079549;15.06615361;1.0210433;0.888002782;38.02;15.99;17.83
Tombul;176.5006132;14.99091593;15.81423305;15.43169483;51.42338989;0.838754142;14.98218606;1.007080756;0.898587628;1.030935589;15.49336905;97.97104295;754.1213524;1947.313404;164.0532105;14.45264803;15.70304363;14.97633775;49.99854867;0.824669251;15.23807344;1.048523604;0.847086079;38.97;15.69;17.55
